id,status,age,sex,region,area,house_income,ind_income
5098,Retained,61,0,3,1,2070,0
5113,Retained,60,0,3,1,1576,788
5102,Retained,57,1,3,1,9800,7000
5129,Retained,80,1,3,1,1500,1500
5130,Retained,60,1,3,1,1800,1800
5013,Retained,71,1,3,1,2780,880
5078,Retained,72,1,3,1,3000,3000
5035,Retained,60,0,3,1,1700,0
5100,Retained,67,0,3,1,1760,880
5010,Retained,65,1,3,1,3944,564
5023,Retained,50,0,3,1,6000,0
5067,Retained,56,1,3,1,1880,1000
5109,Retained,63,0,3,1,1570,0
5045,Retained,77,0,3,1,5898,1700
5121,Retained,61,0,3,1,1900,1000
5069,Retained,59,0,3,1,2450,300
567,Retained,57,1,1,1,600,600
570,Retained,51,1,1,1,1500,1500
5052,Retained,65,0,3,1,2780,0
5122,Retained,72,1,3,1,1570,1500
5050,Retained,62,0,3,1,3944,500
599,Retained,55,1,1,1,3100,2220
596,Retained,58,0,1,1,8727,4727
5077,Retained,52,1,3,1,2500,2500
5014,Retained,71,0,3,1,2800,2800
5064,Retained,64,0,3,1,6450,1250
5120,Retained,56,0,3,1,2700,0
5051,Retained,79,1,3,1,1600,1600
5124,Retained,50,1,3,1,5300,4000
5107,Retained,55,0,3,1,0,0
5128,Retained,68,0,3,1,2000,2000
5108,Retained,63,1,3,1,0,0
5081,Retained,65,0,3,1,2300,0
5076,Retained,50,0,3,1,0,0
5016,Retained,68,0,3,1,2090,890
5281,Retained,54,1,3,1,2400,0
5264,Retained,50,0,3,1,2940,1150
5279,Retained,50,0,3,1,2750,0
5375,Retained,53,1,3,1,1800,1800
5096,Retained,75,0,3,1,1576,788
5032,Retained,63,1,3,1,6902,1300
5017,Retained,78,0,3,1,2188,788
5015,Retained,67,0,3,1,3490,890
575,Retained,51,1,1,1,5435,1275
565,Retained,59,1,1,1,2849,0
5123,Retained,86,1,3,1,2480,880
5043,Retained,58,1,3,1,394,0
5103,Retained,87,0,3,1,1880,880
5082,Retained,59,0,3,1,2080,0
5085,Retained,79,0,3,1,880,880
5059,Retained,57,0,3,1,1500,0
5026,Retained,61,1,3,1,2000,0
5137,Retained,53,1,3,1,3801,1301
5061,Retained,57,0,3,1,2435,965
5094,Retained,82,0,3,1,4890,2000
566,Retained,50,1,1,1,1400,1400
5133,Retained,59,1,3,1,11000,7000
5134,Retained,51,0,3,1,11288,2788
5136,Retained,71,0,3,1,1788,788
5019,Retained,63,0,3,1,17600,4000
5132,Retained,74,0,3,1,2350,1250
5030,Retained,64,1,3,1,2400,2400
5040,Retained,66,1,3,1,3076,1488
5080,Retained,71,1,3,1,950,950
5058,Retained,71,0,3,1,2500,700
5135,Retained,56,0,3,1,2850,450
5138,Retained,80,1,3,1,4058,4058
5104,Retained,67,0,3,1,1576,788
5020,Retained,77,1,3,1,3800,1300
5095,Retained,65,0,3,1,950,0
5011,Retained,69,0,3,1,3076,1588
3731,Retained,52,1,3,1,880,880
3627,Retained,56,1,3,1,800,0
5088,Retained,80,0,3,1,11288,6000
5062,Retained,58,0,3,1,8736,5000
5101,Retained,68,0,3,1,1300,0
5028,Retained,64,0,3,1,3600,0
5090,Retained,69,0,3,1,2490,890
5037,Retained,65,1,3,1,3270,1500
5091,Retained,51,0,3,1,4150,950
5048,Retained,71,1,3,1,7174,2174
5053,Retained,76,1,3,1,3305,1225
5054,Retained,77,0,3,1,1760,880
5042,Retained,77,0,3,1,5000,5000
5089,Retained,77,0,3,1,1760,880
5055,Retained,72,0,3,1,2280,880
4708,Retained,54,1,3,1,2500,2500
4754,Retained,62,1,3,1,3900,2400
5272,Retained,58,1,3,1,1700,0
5117,Retained,65,1,3,1,1760,880
5056,Retained,56,0,3,1,1760,880
5278,Retained,51,0,3,1,2080,0
2114,Retained,54,0,2,1,450,450
2130,Retained,55,0,2,1,788,0
2093,Retained,53,1,2,1,788,788
2131,Retained,71,1,2,1,1576,1576
2080,Retained,65,0,2,1,938,938
2044,Retained,71,0,2,1,1576,788
2134,Retained,62,1,2,1,1984,1384
2135,Retained,60,0,2,1,0,0
2126,Retained,58,0,2,1,0,0
2113,Retained,57,0,2,1,6600,5000
9142,Retained,58,1,5,1,4200,4200
977,Retained,61,1,2,1,323,150
1310,Retained,67,0,2,1,2614,788
1286,Retained,82,1,2,1,1077,1000
1266,Retained,59,1,2,1,1400,1000
1275,Retained,75,0,2,1,1876,788
1307,Retained,51,0,2,1,1698,910
2087,Retained,57,0,2,2,720,0
2178,Retained,59,0,2,1,177,0
2141,Retained,52,0,2,1,1831,788
2144,Retained,66,0,2,1,2676,788
2132,Retained,76,0,2,1,1413,868
2103,Retained,62,1,2,1,788,788
2096,Retained,53,1,2,1,7550,6600
2081,Retained,53,0,2,1,788,0
2062,Retained,71,0,2,1,1576,788
2022,Retained,56,1,2,1,1700,1200
2108,Retained,75,1,2,1,1350,1088
9064,Retained,53,1,5,1,2700,1500
9055,Retained,51,1,5,1,3080,880
2035,Retained,72,1,2,1,2599,780
1290,Retained,60,1,2,1,788,788
2003,Retained,70,0,2,1,1560,0
1339,Retained,62,0,2,2,1576,788
2180,Retained,72,0,2,1,1576,788
2154,Retained,57,0,2,1,3200,3200
2106,Retained,63,0,2,1,4776,0
2186,Retained,79,0,2,1,1556,1556
2083,Retained,71,0,2,1,2076,1576
2079,Retained,55,0,2,1,888,100
2070,Retained,63,0,2,1,2414,788
2176,Retained,76,1,2,1,2108,820
2117,Retained,57,1,2,1,1733,945
9143,Retained,53,1,5,1,1900,1900
9132,Retained,51,0,5,1,2500,1500
2069,Retained,53,0,2,2,310,0
2167,Retained,59,0,2,2,604,250
1312,Retained,65,0,2,1,2364,788
2034,Retained,57,1,2,1,969,788
2052,Retained,70,1,2,1,4776,3200
2063,Retained,69,0,2,1,1576,788
2174,Retained,65,1,2,1,23600,22000
2098,Retained,86,0,2,1,1797,788
2067,Retained,65,1,2,1,1738,788
2068,Retained,60,0,2,1,6315,788
2115,Retained,51,0,2,1,0,0
2171,Retained,58,0,2,1,2038,800
2073,Retained,65,0,2,1,5880,880
2089,Retained,72,0,2,1,1576,788
9139,Retained,50,0,5,1,2080,0
2736,Retained,60,1,2,1,957,0
2741,Retained,55,1,2,1,2980,1480
2733,Retained,56,1,2,1,0,0
2734,Retained,57,1,2,1,970,90
2739,Retained,53,1,2,1,4400,2000
2735,Retained,56,1,2,1,1400,1200
